Ticker,Name
ES=F,E-Mini S&P 500
YM=F,Mini Dow Jones Indus.
NQ=F,Nasdaq 100
RTY=F,E-mini Russell 2000
GC=F,Gold
SI=F,Silver
HG=F,Copper
CL=F,Crude Oil
