Ticker,Name
BTC-USD,Bitcoin USD
ETH-USD,Ethereum USB
XRP-USD,XRP USD
USDT-USD,Tether USDt USD
BNB-USD,BNB USD
SOL-USD,Solana USD
ADA-USD,Cardano USD
DOGE-USD,Dogecoin USD
AVAX-USD,Avalanche USD
